#Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
ES|AFON|38.6649|-0.5412|1061.6|Font Roja (Alcoy/Alcoi - Alicante/Alacant),Spain|2009-01-30T08:23:20|
ES|ATANC|41.075209|-2.784709|911.0|Embalse El Atance (Siguenza - Guadalajara),Spain|2017-08-08T00:00:00|2020-09-30T00:22:30
ES|CADE|28.1607|-16.7427|792.0|Adeje (Tenerife),Spain|2017-03-30T12:00:55|
ES|CAJA|28.864999|-13.776006|120.0|Yaiza (Lanzarote),Spain|2023-06-08T10:00:00|
ES|CALA|28.055383|-17.24235|740.0|Alajero (La Gomera),Spain|2024-03-01T14:05:54|
ES|CALD|28.598969|-17.828703|1560.0|Villa de Mazo (La Palma - Santa Cruz de Tenerife),Spain|2021-04-08T12:30:29|
ES|CARI|28.1867|-16.505|691.0|Arico (Tenerife),Spain|2020-12-02T08:43:58|
ES|CAVE|28.63473|-17.88939|515.0|El Paso (La Palma),Spain|2021-09-29T14:47:26|2022-06-23T22:36:56
ES|CBLA|29.033867|-13.703316|270.0|Tinajo (Lanzarote),Spain|2018-08-03T11:15:28|
ES|CBOL|28.31442|-16.830646|1161.0|Buenavista del Norte (Tenerife),Spain|2016-07-30T10:45:00|
ES|CBRE|28.627437|-17.791452|575.0|Brena Baja,La Palma,Spain|2018-04-03T13:46:57|
ES|CCAL|27.712828|-18.147203|111.0|Punta Orchilla (El Hierro),Spain|2016-06-09T19:14:15|
ES|CCAN|28.223732|-16.607005|2250.0|La Orotava (Tenerife),Spain|1990-07-20T00:00:00|
ES|CCHO|28.225238|-16.673729|2070.0|La Orotava (Tenerife),Spain|2018-11-26T13:58:46|
ES|CCUM|27.7459|-18.0301|464.0|La Longuera, Frontera (El Hierro),Spain|2011-08-16T14:20:10|
ES|CDIE|28.285|-16.5593|2087.5|La Orotava (Tenerife),Spain|2018-05-22T12:33:00|
ES|CDLV|29.16311|-13.44389|37.0|Haria (Lanzarote),Spain|2019-11-25T19:02:15|
ES|CDOS|28.29412|-16.7393|1620.0|Garachico (Tenerife),Spain|2017-05-22T15:02:17|
ES|CENR|28.62581|-17.84609|1210.0|El Paso (La Palma),Spain|2017-10-10T16:20:42|
ES|CFLP|28.4972|-17.8431|735.0|Fuencaliente de La Palma,La Palma,Spain|2017-11-06T00:00:00|2019-03-20T11:43:32
ES|CFOR|28.3142|-16.593|2130.0|Fortaleza, Los Realejos (Tenerife),Spain|2008-07-17T00:00:00|
ES|CFTV|28.417675|-14.085531|531.5|Betancuria (Fuerteventura),Spain|1990-07-17T00:00:00|
ES|CFUE|28.6468|-13.9359|180.0|La Oliva (Fuerteventura),Spain|2004-11-17T10:58:10|
ES|CGAR|28.3419|-16.7626|900.0|Garachico (Tenerife),Spain|2020-12-14T13:18:54|
ES|CGIN|28.2054|-14.0823|116.0|Giniginamar (Fuerteventura),Spain|2014-10-27T00:00:00|
ES|CGOR|28.7784|-17.9958|435.0|Puntagorda,La Palma,Spain|2017-11-07T11:19:32|
ES|CGRA|28.1015|-16.5345|260.0|Granadilla de Abona (Tenerife),Spain|2017-03-24T11:27:54|
ES|CGUI|28.3231|-16.4424|871.0|Guimar (Tenerife),Spain|2013-12-30T09:16:50|
ES|CHIE|27.727|-17.9607|170.0|Valverde,El Hierro,Spain|2010-07-21T00:00:00|2017-10-06T09:37:05
ES|CIBOR|39.635035|-5.42511|586.3|Castanar de Ibor (Caceres),Spain|2019-12-16T14:02:54|2020-03-02T09:12:03
ES|CINF|28.1275|-16.724|405.0|Adeje (Tenerife),Spain|2020-07-10T10:53:30|
ES|CISO|27.738233|-17.951533|826.3|Valverde,El Hierro,Spain|2024-06-27T12:46:00|
ES|CIZA|28.309275|-16.498477|2362.0|Guimar (Tenerife),Spain|2026-03-05T11:00:00|
ES|CJED|28.57924|-17.87033|871.0|Jedey (El Paso - La Palma),Spain|2017-05-26T07:58:28|
ES|CJUL|27.7296|-18.0823|1282.0|Binto, Frontera (El Hierro),Spain|2011-08-16T14:20:10|
ES|CLAJ|28.155675|-16.675353|1412.0|Vilaflor (Tenerife),Spain|2019-03-12T14:09:07|
ES|CLGU|28.3645|-16.6466|681.0|La Guancha (Tenerife),Spain|2020-12-03T19:32:44|
ES|CLLA|28.6167|-17.9099|271.0|Los Llanos de Aridane (La Palma),Spain|2017-11-09T13:35:38|2019-01-13T07:28:36
ES|CLOB|28.7649|-13.8149|81.0|Isla de Lobos,Fuerteventura,Spain|2014-11-06T13:43:45|2017-11-11T02:45:56
ES|CLUM|27.818081|-15.650344|435.0|San Bartolome de Tirajana (Gran Canaria),Spain|2018-10-09T18:29:09|
ES|CMAZ|28.6198|-17.7786|405.0|Villa de Mazo,La Palma,Spain|2017-11-10T10:48:23|2018-01-17T07:30:49
ES|CMCL|27.713|-18.01986|1105.0|El Pinar (El Hierro),Spain|2011-09-13T12:18:20|
ES|CMIR|28.697543|-17.86211|1295.0|El Paso,La Palma,Spain|2017-11-07T16:40:50|
ES|CNAO|27.647|-17.9883|118.0|La Restinga (El Hierro),Spain|2016-03-29T13:31:37|
ES|CNOR|28.31346|-16.659966|1520.0|Icod de los Vinos (Tenerife),Spain|2016-10-06T11:59:00|
ES|CORC|27.7047|-18.1448|97.0|Frontera,El Hierro,Spain|2011-10-03T08:09:00|2016-01-11T03:39:19
ES|CPAJ|27.95|-15.6593|1197.0|Tejeda (Gran Canaria),Spain|2025-06-24T11:00:00|
ES|CPIT|28.4018|-16.392|1165.0|Candelaria (Tenerife),Spain|2020-12-14T10:41:58|
ES|CPUN|28.734821|-17.755571|583.0|Puntallana (La Palma),Spain|2017-06-02T18:50:19|
ES|CPVI|28.2619|-16.6609|3040.0|La Orotava (Tenerife),Spain|2018-11-27T12:55:49|
ES|CRAJ|28.2649|-16.5969|2474.0|La Orotava (Tenerife),Spain|2004-06-11T11:28:10|
