#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
ES|AFON||HHE|38.6649|-0.5412|1061.6|0.0|90.0|0.0|NmxTrillium40s1553VmsNmxTaurus40Vpp1mHzRFon|621188000.0|1.0|M/S|100.0|2009-01-30T08:23:20|2009-04-10T15:49:30
ES|AFON||HHE|38.6649|-0.5412|1061.6|0.0|90.0|0.0|NmxTrillium40s1553VmsNmxTrident16Vpp1mHzRFon|1552970000.0|1.0|M/S|100.0|2010-11-29T11:41:00|2020-04-14T15:36:21
ES|AFON||HHE|38.6649|-0.5412|1061.6|0.0|90.0|0.0|NmxTrillium40s1553VmsNmxTrident40Vpp1mHzRFon|621179000.0|1.0|M/S|100.0|2020-04-24T16:12:55|2021-07-16T10:30:41
ES|AFON||HHE|38.6649|-0.5412|1061.6|0.0|90.0|0.0|NmxTrillium40s1553VmsNmxCentaur40VppLPha1mHzRFon|621180000.0|1.0|M/S|100.0|2021-07-20T00:00:00|
ES|AFON||HHN|38.6649|-0.5412|1061.6|0.0|0.0|0.0|NmxTrillium40s1553VmsNmxTaurus40Vpp1mHzRFon|621188000.0|1.0|M/S|100.0|2009-01-30T08:23:20|2009-04-10T15:49:30
ES|AFON||HHN|38.6649|-0.5412|1061.6|0.0|0.0|0.0|NmxTrillium40s1553VmsNmxTrident16Vpp1mHzRFon|1552970000.0|1.0|M/S|100.0|2010-11-29T11:41:00|2020-04-14T15:36:21
ES|AFON||HHN|38.6649|-0.5412|1061.6|0.0|0.0|0.0|NmxTrillium40s1553VmsNmxTrident40Vpp1mHzRFon|621179000.0|1.0|M/S|100.0|2020-04-24T16:12:55|2021-07-16T10:30:41
ES|AFON||HHN|38.6649|-0.5412|1061.6|0.0|0.0|0.0|NmxTrillium40s1553VmsNmxCentaur40VppLPha1mHzRFon|621180000.0|1.0|M/S|100.0|2021-07-20T00:00:00|
ES|AFON||HHZ|38.6649|-0.5412|1061.6|0.0|0.0|-90.0|NmxTrillium40s1553VmsNmxTaurus40Vpp1mHzRFon|621188000.0|1.0|M/S|100.0|2009-01-30T08:23:20|2009-04-10T15:49:30
ES|AFON||HHZ|38.6649|-0.5412|1061.6|0.0|0.0|-90.0|NmxTrillium40s1553VmsNmxTrident16Vpp1mHzRFon|1552970000.0|1.0|M/S|100.0|2010-11-29T11:41:00|2020-04-14T15:36:21
ES|AFON||HHZ|38.6649|-0.5412|1061.6|0.0|0.0|-90.0|NmxTrillium40s1553VmsNmxTrident40Vpp1mHzRFon|621179000.0|1.0|M/S|100.0|2020-04-24T16:12:55|2021-07-16T10:30:41
ES|AFON||HHZ|38.6649|-0.5412|1061.6|0.0|0.0|-90.0|NmxTrillium40s1553VmsNmxCentaur40VppLPha1mHzRFon|621180000.0|1.0|M/S|100.0|2021-07-20T00:00:00|
ES|ATANC||HNE|41.075209|-2.784709|911.0|0.0|90.0|0.0|NmxTitan1gNmxTitanSMAOffRF|816000.0|1.0|M/S**2|200.0|2017-08-08T00:00:00|2020-09-30T00:22:30
ES|ATANC||HNN|41.075209|-2.784709|911.0|0.0|0.0|0.0|NmxTitan1gNmxTitanSMAOffRF|816000.0|1.0|M/S**2|200.0|2017-08-08T00:00:00|2020-09-30T00:22:30
ES|ATANC||HNZ|41.075209|-2.784709|911.0|0.0|0.0|-90.0|NmxTitan1gNmxTitanSMAOffRF|816000.0|1.0|M/S**2|200.0|2017-08-08T00:00:00|2020-09-30T00:22:30
ES|CADE||EHE|28.1607|-16.7427|792.0|0.0|90.0|0.0|LE3DLiteMkI1s400VmsT1038NmxTaurus4VppLowImp1mHz|1598940000.0|10.0|M/S|100.0|2017-03-30T12:00:55|2018-10-30T13:59:59
ES|CADE||EHN|28.1607|-16.7427|792.0|0.0|0.0|0.0|LE3DLiteMkI1s400VmsT1038NmxTaurus4VppLowImp1mHz|1598940000.0|10.0|M/S|100.0|2017-03-30T12:00:55|2018-10-30T13:59:59
ES|CADE||EHZ|28.1607|-16.7427|792.0|0.0|0.0|-90.0|LE3DLiteMkI1s400VmsT1038NmxTaurus4VppLowImp1mHz|1598940000.0|10.0|M/S|100.0|2017-03-30T12:00:55|2018-10-30T13:59:59
ES|CADE||HHE|28.1607|-16.7427|792.0|0.0|90.0|0.0|NmxTCompact120s754VmsNmxCentaur40VppLinPha1mHzRFon|301711000.0|1.0|M/S|100.0|2025-06-19T11:39:00|
ES|CADE||HHN|28.1607|-16.7427|792.0|0.0|0.0|0.0|NmxTCompact120s754VmsNmxCentaur40VppLinPha1mHzRFon|301711000.0|1.0|M/S|100.0|2025-06-19T11:39:00|
ES|CADE||HHZ|28.1607|-16.7427|792.0|0.0|0.0|-90.0|NmxTCompact120s754VmsNmxCentaur40VppLinPha1mHzRFon|301711000.0|1.0|M/S|100.0|2025-06-19T11:39:00|
ES|CADE|1K|HHE|28.1607|-16.7427|792.0|16.0|90.0|0.0|GuralpRadianGuralpMinimus|1959000000.0|1.0|M/S|100.0|2018-10-30T16:24:19|2025-03-27T09:49:15
ES|CADE|1K|HHN|28.1607|-16.7427|792.0|16.0|0.0|0.0|GuralpRadianGuralpMinimus|1824330000.0|1.0|M/S|100.0|2018-10-30T16:24:19|2025-03-27T09:49:15
ES|CADE|1K|HHZ|28.1607|-16.7427|792.0|16.0|0.0|-90.0|GuralpRadianGuralpMinimus|1636000000.0|1.0|M/S|100.0|2018-10-30T16:24:19|2025-03-27T09:49:15
ES|CAJA||HHE|28.864999|-13.776006|120.0|0.0|90.0|0.0|RftkColt213046@120s2000VmsRftkWrangler40Vpp24bLinF|832878000.0|1.0|M/S|100.0|2023-06-08T10:00:00|
ES|CAJA||HHN|28.864999|-13.776006|120.0|0.0|0.0|0.0|RftkColt213046@120s2000VmsRftkWrangler40Vpp24bLinF|830326000.0|1.0|M/S|100.0|2023-06-08T10:00:00|
ES|CAJA||HHZ|28.864999|-13.776006|120.0|0.0|0.0|-90.0|RftkColt213046@120s2000VmsRftkWrangler40Vpp24bLinF|830614000.0|1.0|M/S|100.0|2023-06-08T10:00:00|
ES|CALA||HHE|28.055383|-17.24235|740.0|0.0|90.0|0.0|NmxTCompact@120s754VmsNmxCentaur40VppLPha1mHzRFon|301710000.0|1.0|M/S|100.0|2024-03-01T14:05:54|
ES|CALA||HHN|28.055383|-17.24235|740.0|0.0|0.0|0.0|NmxTCompact@120s754VmsNmxCentaur40VppLPha1mHzRFon|301710000.0|1.0|M/S|100.0|2024-03-01T14:05:54|
ES|CALA||HHZ|28.055383|-17.24235|740.0|0.0|0.0|-90.0|NmxTCompact@120s754VmsNmxCentaur40VppLPha1mHzRFon|301710000.0|1.0|M/S|100.0|2024-03-01T14:05:54|
ES|CALD||EHE|28.598969|-17.828703|1560.0|0.0|90.0|0.0|MarkL4CnominalNmxTaurus4VppHighImpOff1mHzRFon|684364000.0|10.0|M/S|100.0|2021-04-08T12:30:29|2024-01-30T16:23:55
ES|CALD||EHN|28.598969|-17.828703|1560.0|0.0|0.0|0.0|MarkL4CnominalNmxTaurus4VppHighImpOff1mHzRFon|684364000.0|10.0|M/S|100.0|2021-04-08T12:30:29|2024-01-30T16:23:55
ES|CALD||EHZ|28.598969|-17.828703|1560.0|0.0|0.0|-90.0|MarkL4CnominalNmxTaurus4VppHighImpOff1mHzRFon|684364000.0|10.0|M/S|100.0|2021-04-08T12:30:29|2024-01-30T16:23:55
ES|CALD||HHE|28.598969|-17.828703|1560.0|0.0|90.0|0.0|NmxTCompact120s754VmsNmxCentaur40Vpp1mHzRFonLinPha|301720000.0|1.0|M/S|100.0|2024-01-30T17:25:14|
ES|CALD||HHN|28.598969|-17.828703|1560.0|0.0|0.0|0.0|NmxTCompact120s754VmsNmxCentaur40Vpp1mHzRFonLinPha|301720000.0|1.0|M/S|100.0|2024-01-30T17:25:14|
ES|CALD||HHZ|28.598969|-17.828703|1560.0|0.0|0.0|-90.0|NmxTCompact120s754VmsNmxCentaur40Vpp1mHzRFonLinPha|301720000.0|1.0|M/S|100.0|2024-01-30T17:25:14|
ES|CARI|1K|HHE|28.1867|-16.505|691.0|29.0|90.0|0.0|GuralpRadianGuralpMinimus|1529050000.0|1.0|M/S|100.0|2020-12-02T08:43:58|
ES|CARI|1K|HHN|28.1867|-16.505|691.0|29.0|0.0|0.0|GuralpRadianGuralpMinimus|1727120000.0|1.0|M/S|100.0|2020-12-02T08:43:58|
ES|CARI|1K|HHZ|28.1867|-16.505|691.0|29.0|0.0|-90.0|GuralpRadianGuralpMinimus|1501500000.0|1.0|M/S|100.0|2020-12-02T08:43:58|
ES|CAVE|1K|HHE|28.63473|-17.88939|515.0|0.0|90.0|0.0|GrlpCertimus|3334250000.0|1.0|M/S|100.0|2021-09-29T14:47:26|2022-06-23T22:36:56
ES|CAVE|1K|HHN|28.63473|-17.88939|515.0|0.0|0.0|0.0|GrlpCertimus|3331940000.0|1.0|M/S|100.0|2021-09-29T14:47:26|2022-06-23T22:36:56
ES|CAVE|1K|HHZ|28.63473|-17.88939|515.0|0.0|0.0|-90.0|GrlpCertimus|3240800000.0|1.0|M/S|100.0|2021-09-29T14:47:26|2022-06-23T22:36:56
